City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Toshkivka,UA,2022-07-14 18:37:01,48.7791,38.579,65.64,63,80,10.78
228,Vung Tau,VN,2022-07-14 18:37:01,10.346,107.0843,79.29,84,100,14.52
229,Igunga,TZ,2022-07-14 18:37:01,-4.2833,33.8833,76.93,38,100,11.56
230,Loa Janan,ID,2022-07-14 18:37:02,-0.583,117.095,72.07,96,100,1.25
231,Bonavista,CA,2022-07-14 18:37:02,48.6499,-53.1147,56.14,74,70,10.83
232,Mecca,SA,2022-07-14 18:35:58,21.4267,39.8261,91.36,30,99,5.7
233,Maine-Soroa,NE,2022-07-14 18:37:02,13.2114,12.0241,92.91,33,98,8.59
234,Sala,MA,2022-07-14 18:37:03,34.0389,-6.8166,81.28,69,1,9.22
235,Bam,IR,2022-07-14 18:32:30,29.106,58.357,86.2,14,0,9.8
236,Marawi,PH,2022-07-14 18:37:03,7.9986,124.2928,68.58,95,100,1.52
237,Vila Franca Do Campo,PT,2022-07-14 18:37:03,37.7167,-25.4333,73.81,87,100,9.26
238,Nikolskoye,RU,2022-07-14 18:37:04,59.7035,30.7861,60.8,95,96,4.07
239,Barzas,RU,2022-07-14 18:37:04,55.7167,86.3167,53.82,67,100,2.98
240,Solnechnyy,RU,2022-07-14 18:37:04,50.7214,136.6319,63.55,99,86,4.68
241,Stephenville Crossing,CA,2022-07-14 18:32:12,48.5,-58.4318,69.93,49,40,8.05
242,Dumas,US,2022-07-14 18:37:05,35.8656,-101.9732,96.94,21,0,9.22
243,Antsohihy,MG,2022-07-14 18:37:05,-14.8796,47.9875,71.89,58,100,10.8
244,Someshwar,IN,2022-07-14 18:37:05,13.5,75.0667,75.04,88,34,10.29
245,Chokurdakh,RU,2022-07-14 18:37:06,70.6333,147.9167,51.01,56,63,4.52
246,Aljezur,PT,2022-07-14 18:37:06,37.3191,-8.8033,78.96,55,13,4.97
247,Sharya,RU,2022-07-14 18:37:06,58.3686,45.5144,60.33,94,79,4.16
248,Udayagiri,IN,2022-07-14 18:37:07,20.1333,84.3833,71.6,93,100,3.18
249,Buluang,PH,2022-07-14 18:37:07,13.3068,123.3425,77.54,91,48,1.95
250,Lebanon,US,2022-07-14 18:36:59,36.2081,-86.2911,91.45,48,0,5.75
251,Nome,US,2022-07-14 18:37:08,64.5011,-165.4064,57.16,93,100,3.44
252,Pangody,RU,2022-07-14 18:32:20,65.85,74.4859,55.85,60,8,5.37
253,Kamphaeng Phet,TH,2022-07-14 18:37:08,16.25,99.5,76.95,89,100,2.21
254,Yenagoa,NG,2022-07-14 18:37:08,4.9247,6.2642,75.04,89,53,5.17
255,Atasu,KZ,2022-07-14 18:37:08,48.6814,71.6433,73.45,27,1,6.4
256,Morondava,MG,2022-07-14 18:37:09,-20.2833,44.2833,71.17,68,0,13.13
257,Praia,CV,2022-07-14 18:37:09,14.9215,-23.5087,81.14,57,20,16.11
258,Nyurba,RU,2022-07-14 18:37:09,63.2842,118.3319,59.34,95,67,4.07
259,Alice Town,BS,2022-07-14 18:37:10,25.7167,-79.3,84.97,66,2,10.98
260,Ruteng,ID,2022-07-14 18:37:10,-8.6136,120.4721,58.69,90,10,1.19
261,Dongsheng,CN,2022-07-14 18:37:10,39.8161,109.9776,71.62,63,50,7.54
262,Baoshan,CN,2022-07-14 18:33:54,46.5586,131.4244,63.84,97,100,7.65
263,Jawhar,SO,2022-07-14 18:37:11,2.7809,45.5005,76.05,80,14,13.53
264,Lashio,MM,2022-07-14 18:37:11,22.9333,97.75,70.39,97,55,1.12
265,Alice Springs,AU,2022-07-14 18:37:11,-23.7,133.8833,29.75,74,0,0.0
266,Sitka,US,2022-07-14 18:37:12,57.0531,-135.33,62.49,55,75,8.05
267,Annonay,FR,2022-07-14 18:37:12,45.2397,4.6708,91.09,39,1,6.93
268,Progreso,MX,2022-07-14 18:37:13,21.2833,-89.6667,89.71,48,100,10.2
269,San Patricio,US,2022-07-14 18:37:13,28.017,-97.5169,96.89,37,56,15.28
270,Umm Lajj,SA,2022-07-14 18:37:13,25.0213,37.2685,87.96,56,91,5.7
271,Ormara,PK,2022-07-14 18:37:13,25.2088,64.6357,82.18,75,100,18.12
272,Batagay-Alyta,RU,2022-07-14 18:37:14,67.8006,130.4114,60.84,74,96,1.68
273,Cassilandia,BR,2022-07-14 18:37:14,-19.1133,-51.7342,90.68,18,66,11.27
274,Dalby,AU,2022-07-14 18:35:20,-27.1833,151.2667,45.54,76,0,7.76
275,Lokomotivnyy,RU,2022-07-14 18:38:14,53.0118,60.5684,67.95,76,100,3.98
276,Iqaluit,CA,2022-07-14 18:38:15,63.7506,-68.5145,49.73,71,40,5.75
277,Sisimiut,GL,2022-07-14 18:38:15,66.9395,-53.6735,51.04,59,5,20.4
278,Hambantota,LK,2022-07-14 18:38:15,6.1241,81.1185,77.34,100,20,6.91
279,Port-Gentil,GA,2022-07-14 18:38:16,-0.7193,8.7815,75.16,83,100,11.5
280,Ankang,CN,2022-07-14 18:38:16,32.68,109.0172,81.7,83,100,2.15
281,Ust-Nera,RU,2022-07-14 18:38:16,64.5667,143.2,64.29,78,99,3.87
282,Tindwari,IN,2022-07-14 18:38:17,25.6167,80.5333,94.46,45,32,14.38
283,Irbil,IQ,2022-07-14 18:38:17,36.1926,44.0106,94.82,11,0,8.05
284,Kaiwaka,NZ,2022-07-14 18:38:17,-36.1667,174.45,53.69,95,100,4.32
285,Myingyan,MM,2022-07-14 18:38:17,21.4667,95.3833,84.38,68,89,9.15
286,Pauini,BR,2022-07-14 18:38:21,-7.7136,-66.9764,94.05,38,78,3.24
287,Ponta Do Sol,PT,2022-07-14 18:38:22,32.6667,-17.1,77.13,67,35,7.7
288,Kargasok,RU,2022-07-14 18:38:22,59.0556,80.8572,50.41,88,26,2.66
289,Kilindoni,TZ,2022-07-14 18:38:22,-7.9139,39.6668,76.73,77,27,15.79
290,Linhai,CN,2022-07-14 18:38:23,28.85,121.1167,79.07,87,100,2.55
291,Caravelas,BR,2022-07-14 18:38:23,-17.7125,-39.2481,75.83,71,6,7.52
292,Mahon,ES,2022-07-14 18:38:23,39.8885,4.2658,81.16,69,0,6.91
293,Komsomolskiy,UZ,2022-07-14 18:38:23,40.4272,71.7189,79.52,41,0,6.91
294,Marsh Harbour,BS,2022-07-14 18:38:24,26.5412,-77.0636,83.98,62,8,12.57
